Issuer,Title,Content
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје,"Во врска со Понудата за преземање која се однесува на сите акционери кои поседуваат обични акции издадени од Стопанска банка АД Битола со седиште на ул. Добривое Радосављевиќ бр. 21, 7000 Битола, РС Македонија, Комерцијална банка АД Скопје, со седиште на ул. Васил Иљоски бр. 3, 1000 Скопје, РС  Македонија, со ЕМБС 4065573 (во понатамошниот текст „Преземачот“), согласно член 47 од Законот за преземање на акционерски друштва (Службен весник на РСМ бр.69/2013, 188/2013, 166/2014, 154/2015, 23/2016, 248/2018 и 31/2020), го објавува следното:ИЗВЕСТУВАЊЕ ЗА ИСХОДОТ НА ПОНУДАТА ЗА ПРЕЗЕМАЊЕобјавена во дневниот весник „Слободен печат“ на 26.08.2024 година и во Службен весник на Р Северна Македонија бр. 177 од 26.08.2024 година    Со оглед на тоа што прагот на успешност не е постигнат, понудата за преземање на Стопанска банка АД Битола од страна на Комерцијална банка АД Скопје се смета за неуспешна. Причина за неуспешност е тоа што не се изјаснија позитивно по однос на понудата на Банката доволен број акционери кои поседуваат обични акции со право на глас, односно во законски утврдениот рок до 22.09.2024 година не дадоа Изјава за прифаќање на понуда за откуп по цена од 3.200 денари по акција.Комерцијална банка АД Скопје на акционерите на Стопанска банка АД Битола им посакува успех во понатамошното работење. Скопје, 24.09.2024 година                                                                                                                                                                                                                                  Управен одбор на Комерцијална банка АД Скопје                                                                             "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка нема намера да коментира поединечни изјави на акционери на Стопанска банка Битола, дури и да се тие квалификувани акционери. Во согласност со законските прописи, Комерцијална банка објави јавна понуда за преземање на Стопанска банка Битола, во која се содржани сите важни елементи како што се понудената цена од 3.200 денари по акција, прагот на успешност од 67% плус една акција од вкупно издадените акции и рокот за изјаснување на акционерите заклучно со 22.09.2024 година. Сите други информации се содржани и во придружниот Проспект кон Јавната понуда. Надвор од овие законски пропишани документи, Комерцијална банка нема ништо дополнително да додаде или да коментира никакви други изјави се до завршување на законски пропишаниот рок. Комерцијална банка само уште еднаш истакнува дека оваа нејзина понуда ќе биде прва, последна и единствена понуда за откуп на 100% од акциите на Стопанска банка Битола. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Известување во врска со објавена информација на порталот Pari.com.mkВо врска со објавена информација од страна на порталот Pari.com.mk со наслов „За 52 илјади евра Комерцијална ги купи првите 1.000 акции од Стопанска банка Битола“, ја известуваме јавноста дека истата претставува неточна информација.Комерцијална банка нема реализирано блок-трансакција со акции од Стопанска банка Битола. Заради појаснување го цитираме членот 36 од Законот за преземање трговски друштва, согласно кој „Од денот на објавувањето на намерата за преземање до истекувањето на рокот за прифаќање на понудата за преземање, преземачот не смее надвор од постапката за преземање, директно или индиректно, да купува хартии од вредност на кои се однесува намерата. Правното дело склучено спротивно на оваа одредба е ништовно”.Со оглед на тоа што Комерцијална банка целосно ги почитува законските прописи, ве известуваме дека Комерцијална банка нема во сопственост ниту една акција од Стопанска банка Битола, ниту додека трае постапката за преземање нема да се стекнува со сопственост на акции од Стопанска банка Битола, се до евентуално успешно завршување на постапката.Блок-трансакцијата која се спомнува во текстот е извршена од друго брокерско друштво и за друг купувач, а не за Комерцијална банка.Согласно наведеното, објавената погрешна информација е повлечена  и портaлот го објави демантот од Комерцијална банка во интегрална форма со назнака дека претходно е објавена неточна информација. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје,"Комерцијална банка АД Скопје известува дека денес (26.08.2024 година) се објавени Понудата и Проспектот за преземање на Стопанска банка АД Битола. Понудената цена на акциите издадени од Стопанска банка АД Битола изнесува 3.200,00 денари по акција, а рокот за прифаќање на понудата изнесува 28 дена - од 26.08.2024 година до 22.09.2024 година. "
komercijalna-banka-ad-skopje/,Комерцијална банка АД Скопје," Комерцијална банка АД Скопје ја известува јавноста дека Народната банка на Република Северна Македонија на Комерцијална банка АД Скопје и издаде претходна согласност за стекнување на капитален дел од 100% од вкупниот број обични акции со право на глас издадени од Стопанска банка АД Битола.Истовремено, Комерцијална банка АД Скопје известува дека согласно Одлука донесена од Надзорниот одбор на Банката, во постапката на јавна објава на понуда за преземање на Стопанска банка АД Битола, цената на акциите која ќе биде понудена во понудата за преземање изнесува 3.200,00 денари за 1 (една) акција. "
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидирани консолидирани финансиски извештаи Јануари - Јуни 2024
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидирани единечни финансиски извештаи Јануари - Јуни 2024
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидиран единечен Биланс на успех Јануари - Март 2024
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидиран консолидиран Биланс на успех Јануари - Март 2024
alkaloid-ad-skopje/,Алкалоид АД Скопје,Ревидирани финансиски извештаи
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидирани консолидирани финансиски извештаи Јануари - Декември 2023
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидирани единечни финансиски извештаи Јануари - Декември 2023
alkaloid-ad-skopje/,Алкалоид АД Скопје,Неревидиран консолидиран Биланс на успех Јануари - Септември 2023
alkaloid-ad-skopje/,Алкалоид АД Скопје,"АЛКАЛОИД АД Скопје со четири признанија: Најтранспарентно котирано друштво по избор на медиумите и по избор на пазарните учесници, Акција на годината и Добри ESG-практики"
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
alkaloid-ad-skopje/,Алкалоид АД Скопје,
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Неконсолидиран биланс на успех 01 01 2024-30 09 2024 
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Консолидирани финансиски извештаи 01.01.2024-30.06.2024
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Неконсолидирани финансиски извештаи 01.01.2024-30.06.2024 
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Revizorski izvestaj za VV Tikves za 2023 - poedinecen 
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Koнсолидиран биланс на успех 01.01.2024-31.03.2024
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Konecni revizorski izvestai
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Неконсолидираниот биланс на успех за првиот квартал од 2024 година 
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,ВВ Тиквеш АД Kонсолидирани финансиски извештаи 01.01.2023-31.12.2023 година 
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Неконсолидирани финансиски извештаи 01.01.2023-31.12.2023
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Неконсолидиран биланс на успех 01 01 2024-30 09 2024 
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Образложение кон консолидирани финансиски извештаи 01 01 2024-30 06 2024
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Консолидирани финансиски извештаи 01.01.2024-30.06.2024
vv-tikves-ad-skopje/,ВВ Тиквеш АД Кавадарци,Образложение кон финансиски извештаи 01 01 2024-30 06 2024
